37 Node graph


seq length 55


uniform: 18,26,12,25,25,19,14,3,10,1,26,29,32,31,5,26,36,22,16,4,28,12,0,30,16,0,21,15,29,36,35,5,4,6,23,21,32,21,1,12,29,14,1,32,33,0,24,31,14,29,13,34,25,8,10,
markov: 18,17,16,15,16,15,16,15,14,13,14,15,14,15,14,13,12,13,14,15,16,15,14,15,16,17,16,15,14,15,16,15,16,17,16,15,14,15,16,15,14,15,16,15,16,17,18,17,16,15,16,15,16,15,16,
! Greedy: 19,34,29,16,29,


uniform: 0,22,14,19,6,32,21,17,28,33,19,36,3,32,28,25,11,23,2,22,24,36,5,28,32,16,19,2,18,12,7,5,1,18,29,31,22,33,8,33,26,7,17,7,35,21,20,20,0,32,21,19,5,5,11,
markov: 18,19,20,19,18,17,18,19,20,19,20,19,18,19,18,17,16,15,16,17,18,17,16,15,14,13,14,15,16,15,16,15,14,15,16,17,18,17,16,17,16,15,14,13,14,13,14,13,12,13,14,13,14,13,12,
! Greedy: 17,8,28,11,10,


uniform: 22,21,30,15,26,30,19,34,13,28,24,11,7,8,23,36,8,17,10,26,19,2,29,18,17,22,3,3,25,21,27,6,12,24,9,36,15,32,16,9,23,23,19,33,32,16,8,2,4,11,9,6,15,13,26,
markov: 18,17,16,17,16,17,16,17,18,17,16,15,14,15,14,13,14,13,12,11,12,13,12,13,14,13,12,13,12,11,12,13,14,13,12,11,12,13,12,13,14,13,14,15,14,15,14,13,12,13,12,11,10,11,12,
! Greedy: 1,15,10,29,30,


uniform: 15,12,27,11,33,19,13,13,1,4,36,11,18,16,10,23,26,15,28,34,2,36,18,3,4,27,22,27,23,23,9,31,22,26,11,13,18,2,13,0,7,21,0,31,6,14,28,16,13,12,18,12,36,34,25,
markov: 18,19,18,19,18,19,18,19,18,19,20,19,18,17,18,17,18,17,16,15,16,17,16,17,18,17,18,19,20,19,20,19,18,19,18,19,20,19,18,19,20,19,20,19,18,17,16,15,14,13,12,13,12,13,14,
! Greedy: 10,26,12,36,0,


uniform: 3,6,6,33,22,25,14,21,19,3,7,26,11,18,13,15,27,20,19,9,36,35,23,21,20,33,11,2,27,7,33,2,13,15,33,2,4,14,1,16,5,25,19,35,23,21,15,7,13,4,2,20,31,18,17,
markov: 18,19,18,19,20,19,18,19,20,19,18,17,18,19,18,17,18,17,18,19,20,19,18,19,18,19,20,19,18,19,20,19,20,19,20,19,18,17,18,17,16,15,16,15,14,13,14,15,16,17,16,15,16,15,16,
! Greedy: 21,17,25,14,12,

