number of nodes 31
length of sequence 45


uniform: 1,3,1,19,16,18,16,29,27,18,8,30,7,9,27,20,25,23,24,19,10,16,10,1,8,2,23,15,3,19,30,9,21,0,4,2,9,11,6,30,30,19,8,15,24,
markov: 15,16,15,14,15,14,13,12,13,12,13,12,13,12,11,10,9,8,9,10,11,12,13,14,15,16,15,14,15,14,13,12,11,12,13,14,15,14,15,14,13,14,15,16,15,
! Greedy: 19,20,3,18,23


uniform: 20,3,29,2,9,6,30,24,12,29,24,15,3,1,4,28,4,28,23,28,2,10,16,6,30,18,19,24,4,13,0,14,19,5,30,16,19,29,12,0,27,29,6,10,16,
markov: 15,14,15,16,17,16,15,16,17,18,19,20,19,20,19,20,19,18,19,18,19,18,19,18,17,16,15,16,17,18,17,18,19,20,19,18,17,16,15,16,17,18,19,20,19,
! Greedy: 14,19,11,21,3


uniform: 9,19,23,11,28,21,22,17,30,0,21,30,7,8,1,21,18,24,6,29,14,6,24,27,4,13,30,14,9,10,17,28,24,26,1,17,23,15,26,16,17,3,19,26,11,
markov: 15,16,15,16,15,16,17,18,19,20,19,20,19,18,17,16,17,16,17,18,17,16,17,16,15,16,17,16,15,16,15,16,15,14,15,14,13,12,11,12,11,12,13,14,13,
! Greedy: 17,18,22,24,23

uniform: 13,0,8,2,30,26,16,23,9,1,21,3,15,20,5,20,27,0,29,7,16,2,18,9,25,27,9,19,16,24,17,27,0,7,5,5,23,22,19,6,20,7,24,8,12,
markov: 15,14,15,14,13,12,13,14,15,16,15,14,13,12,13,14,15,16,17,18,17,18,19,20,19,18,17,16,17,16,17,18,17,18,19,18,19,18,19,20,19,20,19,18,17,
! Greedy: 15,14,11,27,9


uniform: 0,15,5,9,17,22,15,13,30,2,20,17,20,28,22,11,29,27,29,19,29,11,6,15,20,14,26,16,10,0,23,11,28,1,13,7,29,1,3,9,24,17,29,30,9,
markov: 15,16,15,16,15,16,15,16,17,18,17,16,15,14,15,16,17,18,17,18,17,18,17,16,17,18,17,16,15,16,15,16,15,14,13,14,13,14,15,16,15,16,15,16,15,
! Greedy: 25,11,8,0,10
