enter number of nodes
38
enter length of sequence for A and B - equal for now
20

uniform: 29,9,23,22,16,32,31,1,13,22,22,37,15,31,29,21,14,10,2,27,
markov: 19,18,19,20,19,18,19,20,19,20,19,18,19,18,17,18,17,18,17,18,
! Greedy: 21,28,12,21,5,

uniform: 19,26,34,11,5,35,24,30,14,35,36,10,7,0,20,3,7,9,13,27,
markov: 19,18,19,18,17,18,19,20,19,18,17,16,15,14,13,12,13,12,11,10,
! Greedy: 8,22,17,5,18,

uniform: 25,11,23,21,36,5,25,29,10,30,26,24,6,27,12,24,1,22,19,11,
markov: 19,20,19,18,17,18,17,18,19,18,17,18,17,18,17,18,19,18,17,16,
! Greedy: 14,34,14,28,35,

uniform: 34,12,12,34,0,23,10,27,7,37,20,27,35,23,20,33,0,37,24,33,
markov: 19,20,19,20,19,20,19,18,19,20,19,20,19,18,19,20,19,20,19,18,
! Greedy: 14,32,37,7,18,

uniform: 36,31,11,36,1,33,9,5,8,35,14,18,11,37,14,3,13,30,19,32,
markov: 19,20,19,18,19,20,19,18,19,20,19,18,19,20,19,20,19,18,17,16,
! Greedy: 20,33,29,30,27,

