enter number of nodes
46
enter length of sequence for A and B - equal for now
20

uniform: 0,40,40,16,28,36,28,18,35,3,27,30,15,19,19,8,43,22,10,3,
markov: 23,22,21,20,19,18,17,16,15,14,13,14,15,16,15,16,17,16,17,18,


uniform: 20,22,15,28,18,19,8,17,26,11,28,37,16,19,10,32,6,22,18,30,
markov: 23,22,21,20,19,18,19,20,19,20,19,20,19,18,17,16,15,14,15,14,


uniform: 2,11,40,29,26,10,29,20,25,25,13,27,34,18,32,18,17,8,23,18,
markov: 23,22,21,20,19,18,19,20,19,20,19,18,19,18,17,18,19,18,17,18,


uniform: 44,4,22,22,42,39,27,26,21,22,2,2,11,31,32,33,37,8,2,2,
markov: 23,22,21,20,19,20,19,20,19,20,19,18,17,18,19,18,17,18,17,18,

