number of nodes 44
number of seq 66


uniform: 30,39,18,1,4,18,13,34,14,18,13,13,39,8,4,17,11,20,37,5,26,0,20,40,7,43,7,1,23,7,32,20,36,11,25,24,7,3,41,19,39,42,42,1,13,27,33,32,36,32,37,30,37,2,17,29,31,19,12,12,18,32,5,8,15,15,
markov: 22,21,20,19,20,19,18,17,16,17,16,15,16,15,16,15,16,15,16,15,16,15,16,17,16,17,16,17,16,15,14,15,16,17,18,19,20,19,20,19,18,17,16,15,16,17,16,15,14,13,14,15,16,17,18,17,16,15,14,15,16,17,16,17,16,15,
! Greedy: 39,42,19,43,12

uniform: 9,4,38,31,10,30,22,25,20,22,21,9,10,6,41,4,20,6,11,9,25,41,15,7,40,29,25,16,15,8,43,18,21,8,7,4,12,36,29,10,10,35,27,22,29,1,13,0,37,1,23,7,12,31,38,8,38,13,38,38,27,32,24,13,31,8,
markov: 22,21,20,19,18,19,18,17,18,19,20,19,18,19,18,17,16,17,16,15,14,15,16,17,16,17,18,19,20,19,18,17,16,17,16,15,16,17,16,15,14,15,16,17,16,17,18,19,20,19,20,19,18,19,18,17,16,17,18,17,16,17,18,19,20,19,
! Greedy: 26,29,28,12,13

uniform: 36,12,33,22,34,26,43,31,13,23,9,21,21,31,15,2,35,23,31,13,25,6,13,34,40,9,37,3,28,21,37,23,42,19,27,28,13,43,39,37,4,35,36,16,36,27,29,14,39,9,3,42,39,31,19,18,42,27,18,20,6,18,11,13,34,29,
markov: 22,21,20,19,20,19,20,19,20,19,18,17,18,19,20,19,18,19,18,19,18,17,18,19,18,17,18,19,20,19,18,17,18,17,16,17,16,17,18,17,16,15,16,17,16,17,16,17,16,17,18,17,18,19,20,19,18,19,20,19,18,19,18,19,20,19,
! Greedy: 19,3,43,43,36

uniform: 23,33,10,43,39,29,17,38,8,13,19,15,42,38,12,12,38,20,4,6,29,34,5,33,17,34,4,15,9,42,24,42,42,41,38,17,14,19,38,35,11,29,21,29,5,13,1,27,11,4,36,1,0,24,7,17,12,39,8,42,39,12,19,16,25,31,
markov: 22,21,20,19,18,19,20,19,20,19,18,19,20,19,18,19,20,19,18,17,16,15,16,15,16,15,16,17,18,19,18,19,18,17,18,19,20,19,20,19,20,19,18,19,20,19,18,19,18,19,20,19,18,19,18,19,20,19,18,19,20,19,18,19,18,19,
! Greedy: 16,22,31,37,40

uniform: 15,14,30,22,11,26,11,23,18,23,39,21,41,39,22,12,22,26,43,4,7,30,36,36,34,29,29,31,5,40,7,7,0,39,12,28,13,5,15,1,36,2,36,37,29,28,20,26,42,20,4,1,20,13,38,35,24,12,36,19,0,41,42,34,8,38,
markov: 22,21,20,19,18,17,18,19,18,19,20,19,18,19,18,17,16,17,18,17,16,17,16,15,16,15,14,13,12,13,14,13,12,11,12,13,12,13,12,13,12,11,12,11,10,9,10,9,10,9,8,7,8,9,10,9,10,11,10,9,8,7,6,7,6,5,
! Greedy: 18,19,12,13,31
